SentContent,SentenceType,ItemValenceRating,ItemFreqRating,TAPlistNumber,FileNumber
"אני יושבת כרגע.","Neutral",0,5,68,1
"אני נושמת.","Neutral",0,5,70,2
"בא לי לשתות קפה.","Neutral",0,5,78,3
"אני מצחצחת שיניים כל בוקר.","Neutral",0,5,84,4
"הערב אני בבית.","Neutral",0,5,87,5
"בסופ\"ש אפשר לנוח.","Neutral",0,5,105,6
"אני בחדר שקט.","Neutral",0,4,89,7
"אני צריכה לעשות קניות.","Neutral",0,4,90,8
"אני צריכה לעשות כביסה.","Neutral",0,4,97,9
"אני צריכה לשלוח הודעה.","Neutral",0,4,99,10
"אני משתמשת באוזניות.","Neutral",0,4,108,11
"אני משתתפת בניסוי.","Neutral",0,3,82,12
"אני רוצה להסתפר.","Neutral",0,3,85,13
"מה אני אלבש היום?","Neutral",0,3,92,14
"מה בא לי לאכול?","Neutral",0,3,93,15
"אני צריכה לעשות טלפון.","Neutral",0,3,98,16
"איפה החניתי את האוטו?","Neutral",0,2,75,17
"אני תושבת ישראל.","Neutral",0,2,79,18
"מה יש לי לעשות היום?","Neutral",0,2,86,19
"אני צריכה לבדוק את המייל.","Neutral",0,2,100,20
"יש לי התראה בפלאפון.","Neutral",0,2,109,21
"אני בתוך בניין.","Neutral",0,1,71,22
"איפה שמתי את המפתחות?","Neutral",0,1,72,23
"אני יושבת מול מחשב.","Neutral",0,1,73,24
"אני מבינה עברית.","Neutral",0,1,74,25
"אני רוצה לקרוא ספר.","Neutral",0,1,76,26
"שתיתי משהו חם הבוקר.","Neutral",0,1,88,27
"אני הרבה בנסיעות.","Neutral",0,1,94,28
"מה אעשה הערב?","Neutral",0,1,96,29
"יש לי מטען לפלאפון.","Neutral",0,1,101,30
"אני צריכה לארגן את הלו\"ז.","Neutral",0,1,102,31
"בא לי לצאת להליכה.","Neutral",0,1,107,32
"הלילה אלך לישון מוקדם.","Neutral",1,4,83,33
"שתיתי מספיק מים היום?","Neutral",1,3,91,34
"אני נועלת נעליים.","Neutral",1,1,69,35
"יש לי פגישה בקרוב.","Neutral",1,1,95,36
"אני רוצה לנקות את הבית.","Neutral",2,3,103,37
"אני רוצה לראות סרט.","Neutral",2,3,110,38
"מחר אקום מוקדם.","Neutral",2,1,104,39
"אני עובדת במשך השבוע.","Neutral",2,1,106,40
"אני מרגישה שהעולם נגדי.","Negative",-3,5,1,41
"מה לא בסדר איתי?","Negative",-3,5,12,42
"אני מרגישה לבד.","Negative",-3,5,29,43
"אני פסיבית וחסרת מוטיבציה.","Negative",-3,5,34,44
"למה אני כל כך מדוכאת?","Negative",-3,5,35,45
"אני לא מרגישה דבר.","Negative",-3,5,36,46
"למה יש לי בעיות שאין לאחרים?","Negative",-3,5,41,47
"אני מרגישה עצובה.","Negative",-3,5,42,48
"אני שונאת את החיים שלי.","Negative",-3,5,43,49
"אני משועממת מכל דבר.","Negative",-3,5,49,50
"אני מרגישה אשמה כל הזמן.","Negative",-3,5,50,51
"איבדתי עניין באנשים.","Negative",-3,5,57,52
"אני לא מסוגלת לעבוד יותר.","Negative",-3,5,60,53
"אני מאכזבת את כולם.","Negative",-3,5,62,54
"קשה לי עם אינטימיות.","Negative",-3,5,63,55
"למה אני אף פעם לא מצליחה?","Negative",-3,4,2,56
"נמאס לי מעצמי.","Negative",-3,4,8,57
"אני לא יכולה לסבול את זה יותר.","Negative",-3,4,10,58
"קשה לי להתחיל דברים חדשים.","Negative",-3,4,11,59
"אני חסרת ערך.","Negative",-3,4,16,60
"אני מרגישה חסרת אונים.","Negative",-3,4,23,61
"אני לא מצליחה לסיים שום דבר.","Negative",-3,4,28,62
"אני אף פעם לא אצא מזה.","Negative",-3,4,30,63
"אני כל כך כועסת על עצמי.","Negative",-3,4,47,64
"אני מרגישה שאני מוענשת.","Negative",-3,4,51,65
"הרבה דברים מבאסים אותי.","Negative",-3,4,52,66
"אני מאשימה את עצמי על כל דבר רע שקורה.","Negative",-3,4,53,67
"אני חסרת משמעות.","Negative",-3,4,66,68
"אף אחד לא מבין אותי.","Negative",-2,5,3,69
"שום דבר לא מרגיש לי טוב.","Negative",-2,5,9,70
"הלוואי שהייתי יכולה להיעלם.","Negative",-2,5,17,71
"החיים שלי בבלגאן.","Negative",-2,5,20,72
"אין לי כח לעשות דבר.","Negative",-2,5,44,73
"למה אני כזאת מתוסבכת?","Negative",-2,5,45,74
"אני לא מצליחה לקבל החלטות.","Negative",-2,5,58,75
"איבדתי עניין בסקס.","Negative",-2,5,61,76
"לפעמים אני מרגישה אבודה.","Negative",-2,5,64,77
"נמאס לי מהכל.","Negative",-2,5,67,78
"אני לא יכולה להמשיך.","Negative",-3,3,4,79
"אני כל כך חלשה.","Negative",-3,3,6,80
