qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
1,"אני מרגישה שהעולם נגדי.","Negative",5,-3
2,"למה אני אף פעם לא מצליחה?","Negative",4,-3
3,"אף אחד לא מבין אותי.","Negative",5,-2
4,"אני לא יכולה להמשיך.","Negative",3,-3
5,"הלוואי שהייתי אדם טוב יותר.","Negative",3,-2
6,"אני כל כך חלשה.","Negative",3,-3
7,"אני מאוכזבת מהבחירות שלי.","Negative",3,-3
8,"נמאס לי מעצמי.","Negative",4,-3
9,"שום דבר לא מרגיש לי טוב.","Negative",5,-2
10,"אני לא יכולה לסבול את זה יותר.","Negative",4,-3
11,"קשה לי להתחיל דברים חדשים.","Negative",4,-3
12,"מה לא בסדר איתי?","Negative",5,-3
13,"הלוואי שהייתי במקום אחר.","Negative",5,0
14,"אני לא מצליחה לארגן דברים.","Negative",4,-1
15,"אני שונאת את עצמי.","Negative",3,-3
16,"אני חסרת ערך.","Negative",4,-3
17,"הלוואי שהייתי יכולה להיעלם.","Negative",5,-2
18,"הלוואי שהייתי מישהי אחרת.","Negative",2,-3
19,"אני לא שווה כלום.","Negative",3,-3
20,"החיים שלי בבלגאן.","Negative",5,-2
21,"אני כישלון.","Negative",3,-3
22,"אני אף פעם לא אצליח.","Negative",2,-3
23,"אני מרגישה חסרת אונים.","Negative",4,-3
24,"משהו חייב להשתנות.","Negative",3,3
25,"משהו לא בסדר איתי.","Negative",5,-1
26,"העתיד שלי בזבל.","Negative",2,-3
27,"זה לא שווה את זה.","Negative",4,-1
28,"אני לא מצליחה לסיים שום דבר.","Negative",4,-3
29,"אני מרגישה לבד.","Negative",5,-3
30,"אני אף פעם לא אצא מזה.","Negative",4,-3
31,"כמה שאני עייפה ...","Negative",5,0
32,"קשה לי להתרכז.","Negative",5,0
33,"מה עשיתי שזה מגיע לי?","Negative",3,-3
34,"אני פסיבית וחסרת מוטיבציה.","Negative",5,-3
35,"למה אני כל כך מדוכאת?","Negative",5,-3
36,"אני לא מרגישה דבר.","Negative",5,-3
37,"למה אני לא מצליחה להזיז את עצמי?","Negative",3,-3
38,"למה אני תמיד מגיבה ככה?","Negative",4,-2
39,"אני כל הזמן מנתחת את עצמי.","Negative",5,2
40,"נמאס לי לחשוב על זה.","Negative",5,0
41,"למה יש לי בעיות שאין לאחרים?","Negative",5,-3
42,"אני מרגישה עצובה.","Negative",5,-3
43,"אני שונאת את החיים שלי.","Negative",5,-3
44,"אין לי כח לעשות דבר.","Negative",5,-2
45,"למה אני כזאת מתוסבכת?","Negative",5,-2
46,"אני כל הזמן עוסקת ברגשות שלי.","Negative",5,2
47,"אני כל כך כועסת על עצמי.","Negative",4,-3
48,"העתיד שלי חסר תקווה.","Negative",2,-3
49,"אני משועממת מכל דבר.","Negative",5,-3
50,"אני מרגישה אשמה כל הזמן.","Negative",5,-3
51,"אני מרגישה שאני מוענשת.","Negative",4,-3
52,"הרבה דברים מבאסים אותי.","Negative",4,-3
53,"אני מאשימה את עצמי על כל דבר רע שקורה.","Negative",4,-3
54,"לחיים שלי אין שום כיוון.","Negative",3,-3
55,"אני כל הזמן בוכה.","Negative",3,0
56,"אני עצבנית כל הזמן.","Negative",5,0
57,"איבדתי עניין באנשים.","Negative",5,-3
58,"אני לא מצליחה לקבל החלטות.","Negative",5,-2
59,"אני חושבת שאני מכוערת.","Negative",3,-3
60,"אני לא מסוגלת לעבוד יותר.","Negative",5,-3
61,"איבדתי עניין בסקס.","Negative",5,-2
62,"אני מאכזבת את כולם.","Negative",5,-3
63,"קשה לי עם אינטימיות.","Negative",5,-3
