qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
1,"אני מרגישה שהעולם נגדי.","Negative",2,0
2,"למה אני אף פעם לא מצליחה?","Negative",2,1
3,"אף אחד לא מבין אותי.","Negative",2,0
4,"אני לא יכולה להמשיך.","Negative",3,-1
5,"הלוואי שהייתי אדם טוב יותר.","Negative",2,0
6,"אני כל כך חלשה.","Negative",2,-1
7,"אני מאוכזבת מהבחירות שלי.","Negative",1,0
8,"נמאס לי מעצמי.","Negative",2,-2
9,"שום דבר לא מרגיש לי טוב.","Negative",2,0
10,"אני לא יכולה לסבול את זה יותר.","Negative",2,-1
11,"קשה לי להתחיל דברים חדשים.","Negative",3,1
12,"מה לא בסדר איתי?","Negative",2,-1
13,"הלוואי שהייתי במקום אחר.","Negative",3,1
14,"אני לא מצליחה לארגן דברים.","Negative",1,0
15,"אני שונאת את עצמי.","Negative",4,0
16,"אני חסרת ערך.","Negative",3,0
17,"הלוואי שהייתי יכולה להיעלם.","Negative",2,1
18,"הלוואי שהייתי מישהי אחרת.","Negative",3,1
19,"אני לא שווה כלום.","Negative",3,-1
20,"החיים שלי בבלגאן.","Negative",1,0
21,"אני כישלון.","Negative",2,0
22,"אני אף פעם לא אצליח.","Negative",2,-1
23,"אני מרגישה חסרת אונים.","Negative",3,-1
24,"משהו חייב להשתנות.","Negative",2,0
25,"משהו לא בסדר איתי.","Negative",5,0
26,"העתיד שלי בזבל.","Negative",2,-1
27,"זה לא שווה את זה.","Negative",2,-1
28,"אני לא מצליחה לסיים שום דבר.","Negative",3,0
29,"אני מרגישה לבד.","Negative",2,0
30,"אני אף פעם לא אצא מזה.","Negative",2,0
31,"כמה שאני עייפה ...","Negative",2,0
32,"קשה לי להתרכז.","Negative",3,-1
33,"מה עשיתי שזה מגיע לי?","Negative",2,-1
34,"אני פסיבית וחסרת מוטיבציה.","Negative",2,-1
35,"למה אני כל כך מדוכאת?","Negative",2,0
36,"אני לא מרגישה דבר.","Negative",4,2
37,"למה אני לא מצליחה להזיז את עצמי?","Negative",2,0
38,"למה אני תמיד מגיבה ככה?","Negative",3,-1
39,"אני כל הזמן מנתחת את עצמי.","Negative",2,-1
