qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
1,"אני מרגיש שהעולם נגדי.","Negative",1,-1
2,"למה אני אף פעם לא מצליח?","Negative",2,-1
3,"אף אחד לא מבין אותי.","Negative",2,-1
4,"אני לא יכול להמשיך.","Negative",3,-2
5,"הלוואי שהייתי אדם טוב יותר.","Negative",2,1
6,"אני כל כך חלש.","Negative",5,-3
7,"אני מאוכזב מהבחירות שלי.","Negative",2,-1
8,"נמאס לי מעצמי.","Negative",2,-1
9,"שום דבר לא מרגיש לי טוב.","Negative",2,-1
10,"אני לא יכול לסבול את זה יותר.","Negative",2,-2
11,"קשה לי להתחיל דברים חדשים.","Negative",1,0
12,"מה לא בסדר איתי?","Negative",1,-1
13,"הלוואי שהייתי במקום אחר.","Negative",3,2
14,"אני לא מצליח לארגן דברים.","Negative",3,-1
15,"אני שונא את עצמי.","Negative",1,-2
16,"אני חסר ערך.","Negative",1,-2
17,"הלוואי שהייתי יכול להיעלם.","Negative",2,-2
18,"הלוואי שהייתי מישהו אחר.","Negative",1,-3
19,"אני לא שווה כלום.","Negative",1,-1
20,"החיים שלי בבלגאן.","Negative",1,0
21,"אני כישלון.","Negative",1,-1
22,"אני אף פעם לא אצליח.","Negative",1,-1
23,"אני מרגיש חסר אונים.","Negative",3,-1
24,"משהו חייב להשתנות.","Negative",3,0
25,"משהו לא בסדר איתי.","Negative",1,0
26,"העתיד שלי בזבל.","Negative",1,-1
27,"זה לא שווה את זה.","Negative",3,-1
28,"אני לא מצליח לסיים שום דבר.","Negative",2,-2
29,"אני מרגיש לבד.","Negative",3,0
30,"אני אף פעם לא אצא מזה.","Negative",1,0
31,"כמה שאני עייף...","Negative",3,-2
32,"קשה לי להתרכז.","Negative",3,-3
33,"מה עשיתי שזה מגיע לי?","Negative",2,-1
34,"אני פסיבי וחסר מוטיבציה.","Negative",3,-3
35,"למה אני כל כך מדוכא?","Negative",3,-2
36,"אני לא מרגיש דבר.","Negative",1,0
37,"למה אני לא מצליח להזיז את עצמי?","Negative",4,-2
38,"למה אני תמיד מגיב ככה?","Negative",3,2
39,"אני כל הזמן מנתח את עצמי.","Negative",5,0
40,"נמאס לי לחשוב על זה.","Negative",1,0
41,"למה יש לי בעיות שאין לאחרים?","Negative",2,2
42,"אני מרגיש עצוב.","Negative",3,0
43,"אני שונא את החיים שלי.","Negative",1,-2
44,"אין לי כח לעשות דבר.","Negative",3,-3
45,"למה אני כזה מתוסבך?","Negative",3,1
46,"אני כל הזמן עסוק ברגשות שלי.","Negative",1,-2
47,"אני כל כך כועס על עצמי.","Negative",1,-1
48,"העתיד שלי חסר תקווה.","Negative",2,1
49,"אני משועמם מכל דבר.","Negative",2,-2
50,"אני מרגיש אשם כל הזמן.","Negative",1,-1
51,"אני מרגיש שאני מוענש.","Negative",1,-1
52,"הרבה דברים מבאסים אותי.","Negative",1,0
53,"אני מאשים את עצמי על כל דבר רע שקורה.","Negative",1,0
54,"הייתי הורג את עצמי אם יכולתי.","Negative",1,0
55,"אני כל הזמן בוכה.","Negative",2,1
56,"אני עצבני כל הזמן.","Negative",1,0
57,"איבדתי עניין באנשים.","Negative",2,0
58,"אני לא מצליח לקבל החלטות.","Negative",1,-1
59,"אני חושב שאני מכוער.","Negative",1,0
60,"אני לא מסוגל לעבוד יותר.","Negative",2,-2
61,"איבדתי עניין בסקס.","Negative",2,-1
62,"אני מאכזב את כולם.","Negative",2,-1
63,"קשה לי עם אינטימיות.","Negative",3,-2
64,"לפעמים אני מרגיש אבוד.","Negative",2,0
65,"אני חסר תועלת.","Negative",1,-1
66,"אני חסר משמעות.","Negative",1,0
67,"נמאס לי מהכל.","Negative",2,-1
68,"אני יושב כרגע.","Neutral",3,0
69,"אני נועל נעליים.","Neutral",1,0
70,"אני נושם.","Neutral",3,1
71,"אני בתוך בניין.","Neutral",2,0
72,"איפה שמתי את המפתחות?","Neutral",2,-1
73,"אני יושב מול מחשב.","Neutral",3,-1
74,"אני מבין עברית.","Neutral",1,0
75,"איפה החניתי את האוטו?","Neutral",2,1
76,"אני רוצה לקרוא ספר.","Neutral",4,2
77,"אני לומד משהו חדש כל יום.","Neutral",4,0
78,"בא לי לשתות קפה.","Neutral",5,3
79,"אני תושב ישראל.","Neutral",3,-1
80,"יש לי תוכניות למחר.","Neutral",2,-2
81,"אני רוצה לצאת לאימון.","Neutral",4,-1
82,"אני משתתף בניסוי.","Neutral",2,1
83,"הלילה אלך לישון מוקדם.","Neutral",2,2
84,"אני מצחצח שיניים כל בוקר.","Neutral",4,0
85,"אני רוצה להסתפר.","Neutral",2,-2
86,"מה יש לי לעשות היום?","Neutral",4,1
87,"הערב אני בבית.","Neutral",3,-1
88,"שתיתי משהו חם הבוקר.","Neutral",2,0
89,"אני בחדר שקט.","Neutral",2,3
90,"אני צריך לעשות קניות.","Neutral",4,0
91,"שתיתי מספיק מים היום?","Neutral",4,2
92,"מה אני אלבש היום?","Neutral",2,0
93,"מה בא לי לאכול?","Neutral",4,-1
94,"אני הרבה בנסיעות.","Neutral",2,-1
95,"יש לי פגישה בקרוב.","Neutral",4,0
96,"מה אעשה הערב?","Neutral",2,0
97,"אני צריך לעשות כביסה.","Neutral",2,2
