SentContent,SentenceType,ItemValenceRating,ItemFreqRating,TAPlistNumber,FileNumber
"מה אני אלבש היום?","Neutral",0,5,92,1
"מה יש לי לעשות היום?","Neutral",0,3,86,2
"אני נועלת נעליים.","Neutral",0,2,69,3
"אני בתוך בניין.","Neutral",0,2,71,4
"איפה שמתי את המפתחות?","Neutral",0,2,72,5
"הלילה אלך לישון מוקדם.","Neutral",0,2,83,6
"יש לי פגישה בקרוב.","Neutral",0,2,95,7
"מה אעשה הערב?","Neutral",0,2,96,8
"אני צריכה לעשות טלפון.","Neutral",0,2,98,9
"אני צריכה לבדוק את המייל.","Neutral",0,2,100,10
"יש לי התראה בפלאפון.","Neutral",0,2,109,11
"אני צריכה לעשות כביסה.","Neutral",0,1,97,12
"יש לי מטען לפלאפון.","Neutral",0,1,101,13
"אני משתמשת באוזניות.","Neutral",0,1,108,14
"אני רוצה לראות סרט.","Neutral",0,1,110,15
"אני יושבת כרגע.","Neutral",-1,4,68,16
"אני צריכה לארגן את הלו\"ז.","Neutral",-1,4,102,17
"אני צריכה לשלוח הודעה.","Neutral",-1,3,99,18
"איפה החניתי את האוטו?","Neutral",-1,2,75,19
"אני רוצה לצאת לאימון.","Neutral",-1,2,81,20
"אני עובדת במשך השבוע.","Neutral",1,1,106,21
"שתיתי מספיק מים היום?","Neutral",2,5,91,22
"אני מבינה עברית.","Neutral",2,4,74,23
"אני רוצה לקרוא ספר.","Neutral",2,4,76,24
"אני משתתפת בניסוי.","Neutral",2,4,82,25
"בא לי לשתות קפה.","Neutral",2,3,78,26
"יש לי תוכניות למחר.","Neutral",2,3,80,27
"אני בחדר שקט.","Neutral",2,3,89,28
"מה בא לי לאכול?","Neutral",2,3,93,29
"מחר אקום מוקדם.","Neutral",2,3,104,30
"אני יושבת מול מחשב.","Neutral",2,2,73,31
"אני תושבת ישראל.","Neutral",2,2,79,32
"הערב אני בבית.","Neutral",2,2,87,33
"שתיתי משהו חם הבוקר.","Neutral",2,2,88,34
"אני צריכה לעשות קניות.","Neutral",2,2,90,35
"אני הרבה בנסיעות.","Neutral",2,2,94,36
"אני רוצה לנקות את הבית.","Neutral",2,2,103,37
"בסופ\"ש אפשר לנוח.","Neutral",2,2,105,38
"אני נושמת.","Neutral",3,4,70,39
"אני לומדת משהו חדש כל יום.","Neutral",3,4,77,40
"אני מרגישה חסרת אונים.","Negative",-3,4,23,41
"אני אף פעם לא אצא מזה.","Negative",-3,3,30,42
"אני כל הזמן בוכה.","Negative",-2,4,55,43
"למה אני אף פעם לא מצליחה?","Negative",-3,2,2,44
"למה אני לא מצליחה להזיז את עצמי?","Negative",-2,3,37,45
"אין לי כח לעשות דבר.","Negative",-2,3,44,46
"אני כל כך כועסת על עצמי.","Negative",-3,2,47,47
"איבדתי עניין באנשים.","Negative",-2,3,57,48
"אף אחד לא מבין אותי.","Negative",-2,2,3,49
"אני לא יכולה להמשיך.","Negative",-2,2,4,50
"אני מאוכזבת מהבחירות שלי.","Negative",-2,2,7,51
"שום דבר לא מרגיש לי טוב.","Negative",-2,2,9,52
"אני לא יכולה לסבול את זה יותר.","Negative",-2,2,10,53
"קשה לי להתחיל דברים חדשים.","Negative",-2,2,11,54
"מה לא בסדר איתי?","Negative",-2,2,12,55
"אני לא מצליחה לארגן דברים.","Negative",-2,2,14,56
"החיים שלי בבלגאן.","Negative",-2,2,20,57
"אני מרגישה לבד.","Negative",-2,2,29,58
"קשה לי להתרכז.","Negative",-2,2,32,59
"למה אני כל כך מדוכאת?","Negative",-2,2,35,60
"אני לא מרגישה דבר.","Negative",-2,2,36,61
"למה אני תמיד מגיבה ככה?","Negative",-2,2,38,62
"נמאס לי לחשוב על זה.","Negative",-2,2,40,63
"למה אני כזאת מתוסבכת?","Negative",-2,2,45,64
"אני מרגישה אשמה כל הזמן.","Negative",-2,2,50,65
"אני מרגישה שאני מוענשת.","Negative",-2,2,51,66
"אני מרגישה שהעולם נגדי.","Negative",-3,1,1,67
"נמאס לי מעצמי.","Negative",-3,1,8,68
"אני שונאת את עצמי.","Negative",-3,1,15,69
"אני חסרת ערך.","Negative",-3,1,16,70
"הלוואי שהייתי מישהי אחרת.","Negative",-3,1,18,71
"אני לא שווה כלום.","Negative",-3,1,19,72
"אני כישלון.","Negative",-3,1,21,73
"אני אף פעם לא אצליח.","Negative",-3,1,22,74
"העתיד שלי בזבל.","Negative",-3,1,26,75
"למה יש לי בעיות שאין לאחרים?","Negative",-3,1,41,76
"העתיד שלי חסר תקווה.","Negative",-3,1,48,77
"אני חושבת שאני מכוערת.","Negative",-3,1,59,78
"אני מאכזבת את כולם.","Negative",-3,1,62,79
"אני חסרת תועלת.","Negative",-3,1,65,80
