SentContent,SentenceType,ItemValenceRating,ItemFreqRating,TAPlistNumber,FileNumber
"מה יש לי לעשות היום?","Neutral",0,5,86,1
"אני יושבת מול מחשב.","Neutral",0,3,73,2
"שתיתי מספיק מים היום?","Neutral",0,3,91,3
"הלילה אלך לישון מוקדם.","Neutral",0,2,83,4
"אני מצחצחת שיניים כל בוקר.","Neutral",0,2,84,5
"הערב אני בבית.","Neutral",0,2,87,6
"אני הרבה בנסיעות.","Neutral",0,2,94,7
"אני צריכה לעשות כביסה.","Neutral",0,2,97,8
"אני רוצה לנקות את הבית.","Neutral",0,2,103,9
"אני עובדת במשך השבוע.","Neutral",0,2,106,10
"אני יושבת כרגע.","Neutral",0,1,68,11
"אני נועלת נעליים.","Neutral",0,1,69,12
"אני נושמת.","Neutral",0,1,70,13
"אני בתוך בניין.","Neutral",0,1,71,14
"איפה שמתי את המפתחות?","Neutral",0,1,72,15
"אני מבינה עברית.","Neutral",0,1,74,16
"איפה החניתי את האוטו?","Neutral",0,1,75,17
"אני משתתפת בניסוי.","Neutral",0,1,82,18
"שתיתי משהו חם הבוקר.","Neutral",0,1,88,19
"יש לי מטען לפלאפון.","Neutral",0,1,101,20
"אני משתמשת באוזניות.","Neutral",0,1,108,21
"בא לי לשתות קפה.","Neutral",1,4,78,22
"אני צריכה לשלוח הודעה.","Neutral",-1,4,99,23
"אני צריכה לבדוק את המייל.","Neutral",1,4,100,24
"יש לי תוכניות למחר.","Neutral",1,3,80,25
"אני צריכה לעשות קניות.","Neutral",1,3,90,26
"מה בא לי לאכול?","Neutral",1,3,93,27
"אני צריכה לארגן את הלו\"ז.","Neutral",-1,3,102,28
"אני רוצה לראות סרט.","Neutral",1,3,110,29
"אני תושבת ישראל.","Neutral",-1,2,79,30
"יש לי פגישה בקרוב.","Neutral",1,2,95,31
"מה אעשה הערב?","Neutral",-1,2,96,32
"יש לי התראה בפלאפון.","Neutral",2,4,109,33
"אני צריכה לעשות טלפון.","Neutral",-2,3,98,34
"מחר אקום מוקדם.","Neutral",2,3,104,35
"אני רוצה לקרוא ספר.","Neutral",2,2,76,36
"אני רוצה להסתפר.","Neutral",2,2,85,37
"אני בחדר שקט.","Neutral",2,2,89,38
"אני רוצה לצאת לאימון.","Neutral",3,4,81,39
"בסופ\"ש אפשר לנוח.","Neutral",3,4,105,40
"הלוואי שהייתי מישהי אחרת.","Negative",-3,3,18,41
"משהו חייב להשתנות.","Negative",-3,3,24,42
"העתיד שלי בזבל.","Negative",-3,3,26,43
"העתיד שלי חסר תקווה.","Negative",-3,3,48,44
"אני חסרת משמעות.","Negative",-3,3,66,45
"אני מרגישה שהעולם נגדי.","Negative",-3,2,1,46
"למה אני אף פעם לא מצליחה?","Negative",-3,2,2,47
"אף אחד לא מבין אותי.","Negative",-3,2,3,48
"נמאס לי מעצמי.","Negative",-3,2,8,49
"אני לא יכולה לסבול את זה יותר.","Negative",-3,2,10,50
"הלוואי שהייתי במקום אחר.","Negative",-2,3,13,51
"אני שונאת את עצמי.","Negative",-3,2,15,52
"אני חסרת ערך.","Negative",-3,2,16,53
"אני לא שווה כלום.","Negative",-3,2,19,54
"החיים שלי בבלגאן.","Negative",-2,3,20,55
"אני כישלון.","Negative",-3,2,21,56
"אני מרגישה חסרת אונים.","Negative",-3,2,23,57
"משהו לא בסדר איתי.","Negative",-3,2,25,58
"זה לא שווה את זה.","Negative",-2,3,27,59
"אני לא מצליחה לסיים שום דבר.","Negative",-3,2,28,60
"אני מרגישה לבד.","Negative",-3,2,29,61
"קשה לי להתרכז.","Negative",-2,3,32,62
"מה עשיתי שזה מגיע לי?","Negative",-3,2,33,63
"למה יש לי בעיות שאין לאחרים?","Negative",-3,2,41,64
"אני שונאת את החיים שלי.","Negative",-3,2,43,65
"אין לי כח לעשות דבר.","Negative",-2,3,44,66
"אני כל כך כועסת על עצמי.","Negative",-2,3,47,67
"הרבה דברים מבאסים אותי.","Negative",-2,3,52,68
"אני מאשימה את עצמי על כל דבר רע שקורה.","Negative",-3,2,53,69
"אני לא מצליחה לקבל החלטות.","Negative",-2,3,58,70
"אני חסרת תועלת.","Negative",-3,2,65,71
"נמאס לי מהכל.","Negative",-3,2,67,72
"אני לא יכולה להמשיך.","Negative",-2,2,4,73
"הלוואי שהייתי אדם טוב יותר.","Negative",-1,4,5,74
"אני כל כך חלשה.","Negative",-2,2,6,75
"אני מאוכזבת מהבחירות שלי.","Negative",-2,2,7,76
"שום דבר לא מרגיש לי טוב.","Negative",-2,2,9,77
"הלוואי שהייתי יכולה להיעלם.","Negative",-2,2,17,78
"אני אף פעם לא אצליח.","Negative",-2,2,22,79
"אני אף פעם לא אצא מזה.","Negative",-2,2,30,80
