qNumber,sentContent,questionnaireName,itemFreqRating,itemValencyRating
1,"אני מרגישה שהעולם נגדי.","Negative",2,-3
2,"למה אני אף פעם לא מצליחה?","Negative",2,-3
3,"אף אחד לא מבין אותי.","Negative",2,-3
4,"אני לא יכולה להמשיך.","Negative",2,-2
5,"הלוואי שהייתי אדם טוב יותר.","Negative",4,-1
6,"אני כל כך חלשה.","Negative",2,-2
7,"אני מאוכזבת מהבחירות שלי.","Negative",2,-2
8,"נמאס לי מעצמי.","Negative",2,-3
9,"שום דבר לא מרגיש לי טוב.","Negative",2,-2
10,"אני לא יכולה לסבול את זה יותר.","Negative",2,-3
11,"קשה לי להתחיל דברים חדשים.","Negative",2,-1
12,"מה לא בסדר איתי?","Negative",1,-2
13,"הלוואי שהייתי במקום אחר.","Negative",3,-2
14,"אני לא מצליחה לארגן דברים.","Negative",1,-2
15,"אני שונאת את עצמי.","Negative",2,-3
16,"אני חסרת ערך.","Negative",2,-3
17,"הלוואי שהייתי יכולה להיעלם.","Negative",2,-2
18,"הלוואי שהייתי מישהי אחרת.","Negative",3,-3
19,"אני לא שווה כלום.","Negative",2,-3
20,"החיים שלי בבלגאן.","Negative",3,-2
21,"אני כישלון.","Negative",2,-3
22,"אני אף פעם לא אצליח.","Negative",2,-2
23,"אני מרגישה חסרת אונים.","Negative",2,-3
24,"משהו חייב להשתנות.","Negative",3,-3
25,"משהו לא בסדר איתי.","Negative",2,-3
26,"העתיד שלי בזבל.","Negative",3,-3
27,"זה לא שווה את זה.","Negative",3,-2
28,"אני לא מצליחה לסיים שום דבר.","Negative",2,-3
29,"אני מרגישה לבד.","Negative",2,-3
30,"אני אף פעם לא אצא מזה.","Negative",2,-2
31,"כמה שאני עייפה ...","Negative",2,0
32,"קשה לי להתרכז.","Negative",3,-2
33,"מה עשיתי שזה מגיע לי?","Negative",2,-3
34,"אני פסיבית וחסרת מוטיבציה.","Negative",1,-2
35,"למה אני כל כך מדוכאת?","Negative",2,-2
36,"אני לא מרגישה דבר.","Negative",2,0
37,"למה אני לא מצליחה להזיז את עצמי?","Negative",2,-2
38,"למה אני תמיד מגיבה ככה?","Negative",2,-2
39,"אני כל הזמן מנתחת את עצמי.","Negative",3,-1
40,"נמאס לי לחשוב על זה.","Negative",1,-1
41,"למה יש לי בעיות שאין לאחרים?","Negative",2,-3
42,"אני מרגישה עצובה.","Negative",2,-2
43,"אני שונאת את החיים שלי.","Negative",2,-3
44,"אין לי כח לעשות דבר.","Negative",3,-2
45,"למה אני כזאת מתוסבכת?","Negative",2,-2
46,"אני כל הזמן עוסקת ברגשות שלי.","Negative",3,-1
47,"אני כל כך כועסת על עצמי.","Negative",3,-2
48,"העתיד שלי חסר תקווה.","Negative",3,-3
49,"אני משועממת מכל דבר.","Negative",4,-1
50,"אני מרגישה אשמה כל הזמן.","Negative",2,-2
51,"אני מרגישה שאני מוענשת.","Negative",1,-2
52,"הרבה דברים מבאסים אותי.","Negative",3,-2
53,"אני מאשימה את עצמי על כל דבר רע שקורה.","Negative",2,-3
54,"הייתי הורגת את עצמי אם יכולתי.","Negative",1,-3
55,"אני כל הזמן בוכה.","Negative",1,-1
56,"אני עצבנית כל הזמן.","Negative",2,-2
57,"איבדתי עניין באנשים.","Negative",1,-2
58,"אני לא מצליחה לקבל החלטות.","Negative",3,-2
59,"אני חושבת שאני מכוערת.","Negative",1,-2
60,"אני לא מסוגלת לעבוד יותר.","Negative",3,-1
61,"איבדתי עניין בסקס.","Negative",1,0
62,"אני מאכזבת את כולם.","Negative",2,-2
63,"קשה לי עם אינטימיות.","Negative",2,-2
64,"לפעמים אני מרגישה אבודה.","Negative",2,-2
65,"אני חסרת תועלת.","Negative",2,-3
66,"אני חסרת משמעות.","Negative",3,-3
67,"נמאס לי מהכל.","Negative",2,-3
68,"אני יושבת כרגע.","Neutral",1,0
69,"אני נועלת נעליים.","Neutral",1,0
70,"אני נושמת.","Neutral",1,0
71,"אני בתוך בניין.","Neutral",1,0
72,"איפה שמתי את המפתחות?","Neutral",1,0
73,"אני יושבת מול מחשב.","Neutral",3,0
74,"אני מבינה עברית.","Neutral",1,0
75,"איפה החניתי את האוטו?","Neutral",1,0
76,"אני רוצה לקרוא ספר.","Neutral",2,2
77,"אני לומדת משהו חדש כל יום.","Neutral",3,3
78,"בא לי לשתות קפה.","Neutral",4,1
79,"אני תושבת ישראל.","Neutral",2,-1
80,"יש לי תוכניות למחר.","Neutral",3,1
81,"אני רוצה לצאת לאימון.","Neutral",4,3
82,"אני משתתפת בניסוי.","Neutral",1,0
83,"הלילה אלך לישון מוקדם.","Neutral",2,0
84,"אני מצחצחת שיניים כל בוקר.","Neutral",2,0
85,"אני רוצה להסתפר.","Neutral",2,2
86,"מה יש לי לעשות היום?","Neutral",5,0
87,"הערב אני בבית.","Neutral",2,0
88,"שתיתי משהו חם הבוקר.","Neutral",1,0
89,"אני בחדר שקט.","Neutral",2,2
90,"אני צריכה לעשות קניות.","Neutral",3,1
91,"שתיתי מספיק מים היום?","Neutral",3,0
92,"מה אני אלבש היום?","Neutral",3,3
93,"מה בא לי לאכול?","Neutral",3,1
94,"אני הרבה בנסיעות.","Neutral",2,0
95,"יש לי פגישה בקרוב.","Neutral",2,1
96,"מה אעשה הערב?","Neutral",2,-1
97,"אני צריכה לעשות כביסה.","Neutral",2,0
98,"אני צריכה לעשות טלפון.","Neutral",3,-2
99,"אני צריכה לשלוח הודעה.","Neutral",4,-1
100,"אני צריכה לבדוק את המייל.","Neutral",4,1
101,"יש לי מטען לפלאפון.","Neutral",1,0
102,"אני צריכה לארגן את הלו\"ז.","Neutral",3,-1
103,"אני רוצה לנקות את הבית.","Neutral",2,0
104,"מחר אקום מוקדם.","Neutral",3,2
105,"בסופ\"ש אפשר לנוח.","Neutral",4,3
106,"אני עובדת במשך השבוע.","Neutral",2,0
107,"בא לי לצאת להליכה.","Neutral",3,3
108,"אני משתמשת באוזניות.","Neutral",1,0
109,"יש לי התראה בפלאפון.","Neutral",4,2
110,"אני רוצה לראות סרט.","Neutral",3,1
